"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Dec 19 11:40:37 GMT 2023","Tue Dec 19 11:40:37 GMT 2023","45","chromium","example.spec.ts","","","","get started link",""
"failed","Tue Dec 19 11:40:42 GMT 2023","Tue Dec 19 11:40:42 GMT 2023","43","webkit","elements.spec.ts","","","","has title",""
"failed","Tue Dec 19 11:40:33 GMT 2023","Tue Dec 19 11:40:33 GMT 2023","43","chromium","elements.spec.ts","","","","has title",""
"failed","Tue Dec 19 11:40:34 GMT 2023","Tue Dec 19 11:40:34 GMT 2023","43","chromium","elements.spec.ts","","","","get started link",""
"failed","Tue Dec 19 11:40:38 GMT 2023","Tue Dec 19 11:40:38 GMT 2023","48","firefox","elements.spec.ts","","","","has title",""
"failed","Tue Dec 19 11:40:35 GMT 2023","Tue Dec 19 11:40:36 GMT 2023","48","chromium","example.spec.ts","","","","has title",""
"failed","Tue Dec 19 11:40:41 GMT 2023","Tue Dec 19 11:40:41 GMT 2023","45","firefox","example.spec.ts","","","","get started link",""
"failed","Tue Dec 19 11:40:43 GMT 2023","Tue Dec 19 11:40:43 GMT 2023","43","webkit","elements.spec.ts","","","","get started link",""
"failed","Tue Dec 19 11:40:44 GMT 2023","Tue Dec 19 11:40:44 GMT 2023","47","webkit","example.spec.ts","","","","has title",""
"failed","Tue Dec 19 11:40:40 GMT 2023","Tue Dec 19 11:40:40 GMT 2023","45","firefox","example.spec.ts","","","","has title",""
"failed","Tue Dec 19 11:40:39 GMT 2023","Tue Dec 19 11:40:39 GMT 2023","43","firefox","elements.spec.ts","","","","get started link",""
"failed","Tue Dec 19 11:40:45 GMT 2023","Tue Dec 19 11:40:45 GMT 2023","43","webkit","example.spec.ts","","","","get started link",""
