"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 19 11:37:18 GMT 2023","Tue Dec 19 11:37:19 GMT 2023","744","firefox","elements.spec.ts","","","","get started link",""
"passed","Tue Dec 19 11:37:14 GMT 2023","Tue Dec 19 11:37:14 GMT 2023","270","chromium","example.spec.ts","","","","has title",""
"failed","Tue Dec 19 11:37:30 GMT 2023","Tue Dec 19 11:37:31 GMT 2023","490","webkit","example.spec.ts","","","","get started link",""
"failed","Tue Dec 19 11:37:23 GMT 2023","Tue Dec 19 11:37:23 GMT 2023","509","webkit","elements.spec.ts","","","","has title",""
"failed","Tue Dec 19 11:37:28 GMT 2023","Tue Dec 19 11:37:28 GMT 2023","502","webkit","example.spec.ts","","","","has title",""
"passed","Tue Dec 19 11:37:15 GMT 2023","Tue Dec 19 11:37:18 GMT 2023","3398","firefox","elements.spec.ts","","","","has title",""
"passed","Tue Dec 19 11:37:13 GMT 2023","Tue Dec 19 11:37:14 GMT 2023","530","chromium","elements.spec.ts","","","","get started link",""
"failed","Tue Dec 19 11:37:25 GMT 2023","Tue Dec 19 11:37:26 GMT 2023","505","webkit","elements.spec.ts","","","","get started link",""
"passed","Tue Dec 19 11:37:14 GMT 2023","Tue Dec 19 11:37:15 GMT 2023","474","chromium","example.spec.ts","","","","get started link",""
"passed","Tue Dec 19 11:37:08 GMT 2023","Tue Dec 19 11:37:13 GMT 2023","4843","chromium","elements.spec.ts","","","","has title",""
"passed","Tue Dec 19 11:37:19 GMT 2023","Tue Dec 19 11:37:19 GMT 2023","416","firefox","example.spec.ts","","","","has title",""
"passed","Tue Dec 19 11:37:19 GMT 2023","Tue Dec 19 11:37:20 GMT 2023","685","firefox","example.spec.ts","","","","get started link",""
